Img1,Img2,rmse
ART_2020003_192021.FR,ART_2020003_193021.FR,14.422377
ART_2020003_193021.FR,ART_2020003_194021.FR,14.15636
ART_2020003_194021.FR,ART_2020003_195021.FR,14.036055
ART_2020003_195021.FR,ART_2020003_200021.FR,13.974502
ART_2020003_200021.FR,ART_2020003_201021.FR,13.923735
ART_2020003_201021.FR,ART_2020003_202021.FR,13.874137
ART_2020003_202021.FR,ART_2020003_203021.FR,13.894002
ART_2020003_203021.FR,ART_2020003_204021.FR,13.914197
ART_2020003_204021.FR,ART_2020003_205021.FR,13.901154
ART_2020003_205021.FR,ART_2020003_210021.FR,14.375219
ART_2020003_210021.FR,ART_2020003_211021.FR,14.455773
ART_2020003_211021.FR,ART_2020003_212021.FR,13.872943
ART_2020003_212021.FR,ART_2020003_213021.FR,13.0826025
ART_2020003_213021.FR,ART_2020003_214021.FR,12.515927
ART_2020003_214021.FR,ART_2020003_215021.FR,10.994898
ART_2020003_215021.FR,ART_2020003_220021.FR,9.329545
ART_2020003_220021.FR,ART_2020003_221021.FR,8.766333
ART_2020003_221021.FR,ART_2020003_222021.FR,9.116046
ART_2020003_222021.FR,ART_2020003_223021.FR,10.364704
ART_2020003_223021.FR,ART_2020003_224021.FR,10.105773
ART_2020003_224021.FR,ART_2020003_225021.FR,8.920525
ART_2020003_225021.FR,ART_2020003_230021.FR,9.811245
ART_2020003_230021.FR,ART_2020003_231021.FR,9.866325
ART_2020003_231021.FR,ART_2020003_232021.FR,3.613787
ART_2020003_232021.FR,ART_2020003_233021.FR,3.6154535
ART_2020003_233021.FR,ART_2020003_234021.FR,1.69466
ART_2020003_234021.FR,ART_2020003_235021.FR,0.0
ART_2020003_235021.FR,ART_2020004_000021.FR,0.0
ART_2020004_000021.FR,ART_2020004_001021.FR,0.0
ART_2020004_001021.FR,ART_2020004_002021.FR,0.0
ART_2020004_002021.FR,ART_2020004_003021.FR,0.0
ART_2020004_003021.FR,ART_2020004_004021.FR,0.0
ART_2020004_004021.FR,ART_2020004_005021.FR,0.0
ART_2020004_005021.FR,ART_2020004_010021.FR,0.0
ART_2020004_010021.FR,ART_2020004_011021.FR,0.0
ART_2020004_011021.FR,ART_2020004_012021.FR,0.0
ART_2020004_012021.FR,ART_2020004_013021.FR,0.0
ART_2020004_013021.FR,ART_2020004_014021.FR,0.0
ART_2020004_014021.FR,ART_2020004_015021.FR,0.0
ART_2020004_015021.FR,ART_2020004_020021.FR,0.0
ART_2020004_020021.FR,ART_2020004_021021.FR,0.0
