Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020307_090018.FR,0.0,256.63055,11.972794,0,43,ART_2020307_091018.FR,15.546374
ART_2020307_091018.FR,0.0,299.34125,15.726478,0,37,ART_2020307_092018.FR,13.338936
ART_2020307_092018.FR,0.0,208.12946,18.010345,0,30,ART_2020307_093018.FR,10.740831
ART_2020307_093018.FR,0.0,193.0825,18.633297,0,20,ART_2020307_094018.FR,25.007671
ART_2020307_094018.FR,0.0,146.42848,4.3365626,54,10,ART_2020307_095018.FR,23.813932
ART_2020307_095018.FR,0.0,147.59593,19.515606,0,0,ART_2020307_100018.FR,9.777291
ART_2020307_100018.FR,0.0,150.11636,19.967726,0,0,ART_2020307_101018.FR,9.735593
ART_2020307_101018.FR,0.0,193.57346,20.061195,0,0,ART_2020307_102018.FR,9.3692255
ART_2020307_102018.FR,1.9302768,205.31937,19.657963,0,0,ART_2020307_103018.FR,9.745792
ART_2020307_103018.FR,0.13147533,215.2671,19.350718,0,0,ART_2020307_104018.FR,11.053412
ART_2020307_104018.FR,1.9460505,188.48122,19.760406,0,0,ART_2020307_105018.FR,9.814827
ART_2020307_105018.FR,1.2384312,180.46921,19.896366,0,0,ART_2020307_110018.FR,8.171709
ART_2020307_110018.FR,1.7933645,158.9605,19.357635,0,0,ART_2020307_111018.FR,7.7252793
ART_2020307_111018.FR,1.1531047,158.41019,18.86559,0,0,ART_2020307_112018.FR,7.5446835
ART_2020307_112018.FR,1.3560646,146.12827,18.456894,0,0,ART_2020307_113018.FR,7.351366
ART_2020307_113018.FR,1.4381288,148.78505,18.107512,0,0,ART_2020307_114018.FR,7.24033
ART_2020307_114018.FR,0.52958333,141.87195,17.802544,0,0,ART_2020307_115018.FR,7.157971
ART_2020307_115018.FR,0.9832076,129.85464,17.550058,0,0,ART_2020307_120018.FR,7.0704913
ART_2020307_120018.FR,1.138598,123.58324,17.338186,0,0,ART_2020307_121018.FR,7.0220823
ART_2020307_121018.FR,1.5153913,113.91319,17.171167,0,0,ART_2020307_122018.FR,6.8921723
ART_2020307_122018.FR,1.5166034,114.317474,17.03851,0,0,ART_2020307_123018.FR,6.8822064
ART_2020307_123018.FR,1.0913374,112.10432,16.914244,0,0,ART_2020307_124018.FR,6.8239145
ART_2020307_124018.FR,1.3778995,109.78467,16.818848,0,0,ART_2020307_125018.FR,6.81156
ART_2020307_125018.FR,1.4709201,105.996445,16.738678,0,0,ART_2020307_130018.FR,6.747042
ART_2020307_130018.FR,1.6336484,105.666214,16.679924,0,0,ART_2020307_131018.FR,6.7854276
ART_2020307_131018.FR,0.0,161.22665,16.628769,0,0,ART_2020307_132018.FR,6.8038235
ART_2020307_132018.FR,1.6194249,101.78348,16.599634,0,0,ART_2020307_133018.FR,6.7976027
ART_2020307_133018.FR,0.35387158,100.386444,16.57426,0,0,ART_2020307_134018.FR,6.8120475
ART_2020307_134018.FR,1.0885373,97.67884,16.575058,0,0,ART_2020307_135018.FR,6.8412027
ART_2020307_135018.FR,1.203952,98.22066,16.617588,0,0,ART_2020307_140018.FR,6.9415703
ART_2020307_140018.FR,1.3054094,98.11544,16.732792,0,0,ART_2020307_141018.FR,6.9862313
ART_2020307_141018.FR,1.6365855,96.08938,16.949091,0,0,ART_2020307_142018.FR,7.2347474
ART_2020307_142018.FR,1.6449031,100.796555,17.283417,0,0,ART_2020307_143018.FR,7.4700294
ART_2020307_143018.FR,1.9235234,105.11574,17.650213,0,0,ART_2020307_144018.FR,7.761121
ART_2020307_144018.FR,1.3897483,102.55818,17.86021,0,0,ART_2020307_145018.FR,7.909167
ART_2020307_145018.FR,1.670671,100.8261,17.835783,0,0,ART_2020307_150018.FR,7.894141
ART_2020307_150018.FR,2.0051222,104.893105,17.77794,0,0,ART_2020307_151018.FR,7.926645
ART_2020307_151018.FR,1.7477472,103.7412,17.818735,0,0,ART_2020307_152018.FR,8.065254
ART_2020307_152018.FR,1.7447137,107.45228,17.961367,0,0,ART_2020307_153018.FR,8.220914
ART_2020307_153018.FR,2.130575,109.82607,18.126894,0,0,ART_2020307_154018.FR,8.361234
ART_2020307_154018.FR,0.0,110.98066,18.292944,0,0,ART_2020307_155018.FR,8.498849
ART_2020307_155018.FR,2.1529956,111.99821,18.474604,0,0,ART_2020307_160018.FR,8.676261
ART_2020307_160018.FR,1.6958399,115.62459,18.665009,0,0,ART_2020307_161018.FR,8.807892
ART_2020307_161018.FR,1.7706424,117.001686,18.851637,0,0,ART_2020307_162018.FR,8.976168
ART_2020307_162018.FR,2.0591223,110.58696,19.030952,0,0,ART_2020307_163018.FR,9.160479
ART_2020307_163018.FR,2.5850422,115.66715,19.195257,0,0,ART_2020307_164017.FR,9.299377
ART_2020307_164017.FR,2.277019,115.23389,19.34627,0,0,ART_2020307_165017.FR,9.460898
ART_2020307_165017.FR,2.2466848,124.08963,19.494411,0,0,ART_2020307_170017.FR,9.608066
ART_2020307_170017.FR,1.9643525,123.4743,19.635677,0,0,ART_2020307_171017.FR,9.779194
ART_2020307_171017.FR,2.5119112,124.799446,19.757408,0,0,ART_2020307_172017.FR,9.868772
ART_2020307_172017.FR,2.5794795,122.045006,19.859337,0,0,ART_2020307_173017.FR,10.04788
ART_2020307_173017.FR,2.366576,123.71824,19.943316,0,0,ART_2020307_174017.FR,10.062545
ART_2020307_174017.FR,2.4680383,132.6641,20.013615,0,0,ART_2020307_175017.FR,10.231754
